TA	score
Grader1	100
Grader1	100
Grader1	100
Grader1	90
Grader1	100
Grader1	70
Grader1	100
Grader1	100
Grader1	90
Grader1	100
Grader1	70
Grader1	100
Grader1	100
Grader1	100
Grader1	100
Grader1	100
Grader1	80
Grader1	100
Grader1	100
Grader1	100
Grader1	90
Grader1	90
Grader1	70
Grader1	100
Grader1	100
Grader1	100
Grader1	100
Grader1	90
Grader1	100
Grader1	100
Grader1	100
Grader1	100
Grader1	100
Grader1	50
Grader1	70
Grader1	100
Grader1	100
Grader1	90
Grader1	100
Grader1	100
Grader1	90
Grader1	100
Grader2	100
Grader2	70
Grader2	90
Grader2	90
Grader2	100
Grader2	100
Grader2	100
Grader2	90
Grader2	100
Grader2	40
Grader2	100
Grader2	100
Grader2	100
Grader2	90
Grader2	90
Grader2	90
Grader2	90
Grader2	100
Grader2	100
Grader2	100
Grader2	100
Grader2	100
Grader2	90
Grader2	100
Grader2	100
Grader2	100
Grader2	90
Grader2	100
Grader2	70
Grader2	90
Grader2	100
Grader2	100
Grader2	100
Grader2	100
Grader2	100
Grader2	100
Grader2	90
Grader2	90
Grader2	70
Grader2	100
Grader2	100
Grader2	100
Grader2	90
Grader2	90
Grader2	90
Grader2	90
Grader2	90
Grader2	90
Grader2	100
Grader2	100
Grader2	100
Grader2	70
Grader3	100
Grader3	100
Grader3	90
Grader3	90
Grader3	100
Grader3	100
Grader3	100
Grader3	100
Grader3	90
Grader3	90
Grader3	100
Grader3	90
Grader3	100
Grader3	100
Grader3	100
Grader3	70
Grader3	100
Grader3	100
Grader3	100
Grader3	100
Grader3	90
Grader3	100
Grader3	90
Grader3	100
Grader3	90
Grader3	90
Grader3	90
Grader3	100
Grader3	70
Grader3	100
Grader3	100
Grader4	70
Grader4	90
Grader4	70
Grader4	100
Grader4	100
Grader4	100
Grader4	100
Grader4	90
Grader4	100
Grader4	100
Grader4	90
Grader4	100
Grader4	100
Grader4	100
Grader4	100
Grader4	80
Grader4	70
Grader4	100
Grader4	100
Grader4	90
Grader4	100
Grader4	80
Grader4	100
Grader4	100
Grader4	90
Grader4	90
Grader4	100
Grader4	100
Grader4	100
Grader4	90
Grader4	100
Grader4	90
Grader4	80
Grader4	90
Grader4	90
Grader4	70
Grader4	90
Grader4	100
Grader4	100
Grader4	100
Grader4	90
Grader4	90
Grader4	100
Grader4	100
Grader4	100
Grader4	100
Grader4	70
Grader4	100
Grader4	50
Grader4	90
Grader4	100
Grader4	100
Grader4	100
Grader4	90
Grader4	100
Grader4	90
Grader4	100
Grader4	90
Grader4	100
Grader4	100
Grader4	50
Grader5	100
Grader5	100
Grader5	100
Grader5	100
Grader5	90
Grader5	90
Grader5	100
Grader5	90
Grader5	100
Grader5	90
Grader5	100
Grader5	100
Grader5	90
Grader5	100
Grader5	100
Grader5	100
Grader5	90
Grader5	90
Grader5	90
Grader5	100
Grader5	100
Grader5	80
Grader5	100
Grader5	90
Grader5	70
Grader5	30
Grader5	70
Grader5	100
Grader5	100
Grader5	90
Grader5	100
Grader5	80
Grader5	100
Grader5	90
Grader5	100
Grader5	100
Grader5	90
Grader5	90
Grader5	100
Grader5	70
Grader5	40
Grader5	100
