TA	score
Strict	70
Strict	80
Strict	70
Strict	80
Strict	80
Strict	90
Strict	100
Strict	80
Strict	100
Strict	80
Strict	80
Strict	100
Strict	100
Strict	80
Strict	100
Strict	80
Strict	70
Strict	100
Strict	100
Strict	80
Strict	100
Strict	80
Strict	100
Strict	100
Strict	80
Strict	80
Strict	100
Strict	80
Strict	100
Strict	80
Strict	100
Strict	80
Strict	80
Strict	80
Strict	80
Strict	70
Strict	80
Strict	100
Strict	100
Strict	100
Strict	80
Strict	80
Strict	100
Strict	100
Strict	100
Strict	100
Strict	70
Strict	100
Strict	50
Strict	80
Strict	100
Strict	90
Strict	100
Strict	80
Strict	100
Strict	80
Strict	100
Strict	80
Strict	100
Strict	90
Strict	50
Bob	100
Bob	70
Bob	90
Bob	90
Bob	100
Bob	100
Bob	100
Bob	90
Bob	100
Bob	40
Bob	100
Bob	90
Bob	100
Bob	90
Bob	90
Bob	90
Bob	90
Bob	100
Bob	100
Bob	100
Bob	100
Bob	100
Bob	90
Bob	100
Bob	100
Bob	100
Bob	90
Bob	100
Bob	70
Bob	90
Bob	100
Bob	100
Bob	100
Bob	100
Bob	100
Bob	100
Bob	90
Bob	90
Bob	70
Bob	100
Bob	100
Bob	100
Bob	90
Bob	90
Bob	90
Bob	90
Bob	90
Bob	90
Bob	100
Bob	100
Bob	100
Charlie	100
Charlie	100
Charlie	100
Charlie	90
Charlie	100
Charlie	70
Charlie	100
Charlie	100
Charlie	90
Charlie	100
Charlie	70
Charlie	100
Charlie	100
Charlie	100
Charlie	100
Charlie	100
Charlie	80
Charlie	100
Charlie	100
Charlie	100
Charlie	90
Charlie	90
Charlie	70
Charlie	100
Charlie	100
Charlie	100
Charlie	100
Charlie	90
Charlie	100
Charlie	100
Charlie	100
Charlie	100
Charlie	100
Charlie	50
Charlie	70
Charlie	100
Charlie	100
Charlie	90
Charlie	100
Charlie	100
Charlie	90
Charlie	100
Dan	100
Dan	100
Dan	90
Dan	90
Dan	100
Dan	100
Dan	100
Dan	100
Dan	90
Dan	90
Dan	100
Dan	90
Dan	100
Dan	100
Dan	100
Dan	70
Dan	100
Dan	100
Dan	100
Dan	100
Dan	90
Dan	100
Dan	90
Dan	100
Dan	90
Dan	90
Dan	90
Dan	100
Dan	70
Dan	100
Dan	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	90
Easy	100
Easy	100
Easy	90
Easy	90
Easy	90
Easy	100
Easy	100
Easy	100
Easy	100
Easy	80
Easy	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	100
Easy	90
Easy	100
